Name,Date,City,State,Score,Raw Url,Url
Tree House Brewing Company -...,7/18/2024 18:00,Tewksbury, MA,7.9,https://onebite.app/restaurant/tree-house-brewing-company-tewksbury-tewksbury-ma-8639a3ba/review/d5d04b4f-a2a4-4a59-bdc6-fb2c132b8a17,https://onebite.app/restaurant/tree-house-brewing-company-tewksbury-tewksbury-ma-8639a3ba
Garlic Breath Pizza,7/17/2024 18:00,North Andover, MA,8.1,https://onebite.app/restaurant/garlic-breath-pizza-north-andover-ma-51388a57/review/eed7cbc0-36d8-4052-bcba-1cd79fa02cca,https://onebite.app/restaurant/garlic-breath-pizza-north-andover-ma-51388a57
Tripoli Pizza & Bakery - Law...,7/16/2024 18:00,Lawrence, MA,6.2,https://onebite.app/restaurant/tripoli-pizza-and-bakery-lawrence-lawrence-ma-348d267c/review/00d9f5a0-54ad-4854-b848-8332d2bf6345,https://onebite.app/restaurant/tripoli-pizza-and-bakery-lawrence-lawrence-ma-348d267c
Romano's Pizzeria,7/15/2024 18:00,Salem, NH,7.1,https://onebite.app/restaurant/romanos-pizzeria-salem-nh-fa9fd55e/review/55bba038-1572-4a29-b44e-83c1fc0d7a3d,https://onebite.app/restaurant/romanos-pizzeria-salem-nh-fa9fd55e
Granfanallys pizza pub,7/12/2024 18:00,Salem, NH,7.4,https://onebite.app/restaurant/granfanallys-pizza-pub-salem-nh-07893d41/review/1e7a2651-d8ca-4012-8f2b-c715eaff2d6a,https://onebite.app/restaurant/granfanallys-pizza-pub-salem-nh-07893d41
The Ricochet,7/11/2024 18:00,Derry, NH,7.7,https://onebite.app/restaurant/the-ricochet-derry-nh-b119222d/review/a2001018-8343-46f5-b07b-2c9673d71201,https://onebite.app/restaurant/the-ricochet-derry-nh-b119222d
Mickey's N.Y. Pizza,7/10/2024 18:00,Derry, NH,7.6,https://onebite.app/restaurant/mickeys-ny-pizza-derry-nh-3834cfa8/review/e8f50989-5743-443f-a89a-26ed5f8b158b,https://onebite.app/restaurant/mickeys-ny-pizza-derry-nh-3834cfa8
Papa Gino's,7/9/2024 18:00,Londonderry, NH,7.5,https://onebite.app/restaurant/papa-ginos-londonderry-nh-bb8e8c2f/review/49be0ea9-ec68-47aa-a704-ae29b40bf192,https://onebite.app/restaurant/papa-ginos-londonderry-nh-bb8e8c2f
Kelsen Brewing Company,7/8/2024 18:00,Londonderry, NH,7.6,https://onebite.app/restaurant/kelsen-brewing-company-londonderry-nh-7d8a1555/review/4078a6bc-a2ee-464f-b609-250c0d6ef94f,https://onebite.app/restaurant/kelsen-brewing-company-londonderry-nh-7d8a1555
Soprano's Pizzeria,7/3/2024 18:00,Nashua, NH,7.3,https://onebite.app/restaurant/sopranos-pizzeria-nashua-nh-33ba24ea/review/fe558118-c962-469e-9229-c91b0076cec4,https://onebite.app/restaurant/sopranos-pizzeria-nashua-nh-33ba24ea
Q's Restaurant & Pizzeria,7/2/2024 18:00,Hillside, IL,7.4,https://onebite.app/restaurant/qs-restaurant-and-pizzeria-hillside-il-daf69622/review/6718c2a1-3efd-40f0-9206-4cbdaa9553f5,https://onebite.app/restaurant/qs-restaurant-and-pizzeria-hillside-il-daf69622
Al's Pizza,7/1/2024 18:00,Warrenville, IL,7.6,https://onebite.app/restaurant/als-pizza-warrenville-il-95f6eb4e/review/6836ef1e-83f2-420b-87dc-87e6e78c6ac3,https://onebite.app/restaurant/als-pizza-warrenville-il-95f6eb4e
Max & Leo's Artisan Pizza - ...,6/28/2024 18:00,Chicago, IL,7.1,https://onebite.app/restaurant/max-and-leos-artisan-pizza-chicago-chicago-il-91c8c92d/review/1208664d-ec28-45b7-b595-1d3080f3b073,https://onebite.app/restaurant/max-and-leos-artisan-pizza-chicago-chicago-il-91c8c92d
