Name,Address,City,State,Dave Score,Community Score,Score Diffrence,Number of Reviews,Url,Date
Tree House Brewing Company - Tewksbury,1880 Main St, Tewksbury, MA,7.90,8.10,0.20,9,https://onebite.app/restaurant/tree-house-brewing-company-tewksbury-tewksbury-ma-8639a3ba,7/18/2024
Garlic Breath Pizza,733 Turnpike St, North Andover, MA,8.10,8.20,0.10,21,https://onebite.app/restaurant/garlic-breath-pizza-north-andover-ma-51388a57,7/17/2024
Tripoli Pizza & Bakery - Lawrence,106 Common St, Lawrence, MA,6.20,7.90,1.70,29,https://onebite.app/restaurant/tripoli-pizza-and-bakery-lawrence-lawrence-ma-348d267c,7/16/2024
Romano's Pizzeria,154 Main St, Salem, NH,7.10,7.60,0.50,31,https://onebite.app/restaurant/romanos-pizzeria-salem-nh-fa9fd55e,7/15/2024
Granfanallys pizza pub,354 N Broadway, Salem, NH,7.40,7.90,0.50,64,https://onebite.app/restaurant/granfanallys-pizza-pub-salem-nh-07893d41,7/12/2024
The Ricochet,35 Manchester Rd, Derry, NH,7.70,6.80,-0.90,21,https://onebite.app/restaurant/the-ricochet-derry-nh-b119222d,7/11/2024
Mickey's N.Y. Pizza,9 Crystal Ave, Derry, NH,7.60,8.10,0.50,11,https://onebite.app/restaurant/mickeys-ny-pizza-derry-nh-3834cfa8,7/10/2024
Kelsen Brewing Company,44 Nashua Rd, Londonderry, NH,7.60,7.90,0.30,46,https://onebite.app/restaurant/kelsen-brewing-company-londonderry-nh-7d8a1555,7/8/2024
Soprano's Pizzeria,23 Main St, Nashua, NH,7.30,7.70,0.40,37,https://onebite.app/restaurant/sopranos-pizzeria-nashua-nh-33ba24ea,7/3/2024
Q's Restaurant & Pizzeria,4841 Butterfield Rd, Hillside, IL,7.40,8.00,0.60,17,https://onebite.app/restaurant/qs-restaurant-and-pizzeria-hillside-il-daf69622,7/2/2024
Al's Pizza,28w241 Warrenville Rd, Warrenville, IL,7.60,8.00,0.40,32,https://onebite.app/restaurant/als-pizza-warrenville-il-95f6eb4e,7/1/2024
Max & Leo's Artisan Pizza - Chicago,1500 N Clybourn Ave, Chicago, IL,7.10,7.80,0.7,5,https://onebite.app/restaurant/max-and-leos-artisan-pizza-chicago-chicago-il-91c8c92d,6/28/2024
OakCraft Pizza,2 Cellu Dr, Nashua, NH,5.80,7.90,2.10,9,https://onebite.app/restaurant/oakcraft-pizza-nashua-nh-32e32a55,6/27/2024
The Slice Spot,960 Roosevelt Rd, West Chicago, IL,6.80,8.30,1.50,27,https://onebite.app/restaurant/the-slice-spot-west-chicago-il-09c31f25,6/24/2024
Phil's Pizza,8932 Ridgeland Ave, Oak Lawn, IL,7.30,8.20,0.90,27,https://onebite.app/restaurant/phils-pizza-oak-lawn-il-67104004,6/20/2024
Christo's Restaurant & Bar,552 N Colony Rd, Wallingford, CT,8.30,8.30,0.00,10,https://onebite.app/restaurant/christos-restaurant-and-bar-wallingford-ct-deb55939,6/19/2024
Luna Woodfired Pizza,384 N Main St, Naugatuck, CT,8.10,7.90,-0.20,24,https://onebite.app/restaurant/luna-woodfired-pizza-naugatuck-ct-96085102,6/18/2024
Louie's,1839 N Henderson Ave, Dallas, TX,7.60,8.30,0.70,53,https://onebite.app/restaurant/louies-dallas-tx-13467a53,6/17/2024
Pizza Leila - Downtown,2111 Flora St, Dallas, TX,7.20,8.00,0.80,13,https://onebite.app/restaurant/pizza-leila-downtown-dallas-tx-298f8eab,6/14/2024
Sasso's Coal Fired Pizza,52 Main St, Torrington, CT,8.10,7.80,-0.30,40,https://onebite.app/restaurant/sassos-coal-fired-pizza-torrington-ct-d38b48c9,6/13/2024
Roma Pizza,24 High St, Torrington, CT,7.70,8.10,0.40,20,https://onebite.app/restaurant/roma-pizza-torrington-ct-982e4ca8,6/12/2024
E&D Pizza Company,200 W Main St, Avon, CT,7.90,7.70,-0.20,36,https://onebite.app/restaurant/eandd-pizza-company-avon-ct-81387a57,6/11/2024
Zephyr's Street Pizza,968 Farmington Ave, West Hartford, CT,8.10,8.20,0.10,19,https://onebite.app/restaurant/zephyrs-street-pizza-west-hartford-ct-bfb01770,6/7/2024
Savoy Pizzeria & Craft Bar,32 LaSalle Rd, West Hartford, CT,7.60,7.80,0.20,56,https://onebite.app/restaurant/savoy-pizzeria-and-craft-bar-west-hartford-ct-3bb3e619,6/6/2024
Oakland Pizza Co.,289 Oakland Rd, South Windsor, CT,7.90,8.00,0.10,35,https://onebite.app/restaurant/oakland-pizza-co-south-windsor-ct-08ce0f6e,6/5/2024
GG's Wood Fired Pizza,591 Boston Post Rd, Milford, CT,7.70,8.00,0.30,50,https://onebite.app/restaurant/ggs-wood-fired-pizza-milford-ct-1bbc1811,6/4/2024
New Haven Pizza Place,1377 New Haven Ave, Milford, CT,7.90,7.80,-0.10,30,https://onebite.app/restaurant/new-haven-pizza-place-milford-ct-413fb3e0,6/3/2024
Little Pops NY Pizzeria,1819 Wehrli Rd, Naperville, IL,7.60,7.70,0.10,64,https://onebite.app/restaurant/little-pops-ny-pizzeria-naperville-il-cf8dc76d,6/1/2024
Marco Pizzeria,313 E Main St, Branford, CT,7.80,8.20,0.40,31,https://onebite.app/restaurant/marco-pizzeria-branford-ct-7dde329e,5/31/2024
Capone's Pizza Bar,318 E Main St, Branford, CT,7.80,8.30,0.50,15,https://onebite.app/restaurant/capones-pizza-bar-branford-ct-3dddbb1b,5/30/2024
Amato’s Pizza & Pasta,391 Durham Rd, Madison, CT,8.10,8.10,0.00,12,https://onebite.app/restaurant/amatos-pizza-and-pasta-madison-ct-b066c7ba,5/29/2024
Carpanzano's Pizzeria,1200 Boston Post Rd, Guilford, CT,8.20,8.10,-0.10,17,https://onebite.app/restaurant/carpanzanos-pizzeria-guilford-ct-495e6d50,5/28/2024
Mondo,10 Main St, Middletown, CT,8.10,7.80,-0.30,86,https://onebite.app/restaurant/mondo-middletown-ct-78aab4eb,5/24/2024
Sicily Coal Fired Pizza,412 Main St, Middletown, CT,7.80,8.00,0.20,34,https://onebite.app/restaurant/sicily-coal-fired-pizza-middletown-ct-c15bf507,5/23/2024
Sapore Pizzeria & Bar,163 Boston Post Rd, Old Lyme, CT,7.90,8.40,0.50,19,https://onebite.app/restaurant/sapore-pizzeria-and-bar-old-lyme-ct-b4f38555,5/21/2024
Mystic Pizza,56 W Main St, Mystic, CT,6.20,5.80,-0.40,168,https://onebite.app/restaurant/mystic-pizza-mystic-ct-186648ae,5/17/2024
Olde Mistick Village,27 Coogan Blvd, Stonington, CT,7.50,7.50,0.00,98,https://onebite.app/restaurant/olde-mistick-village-stonington-ct-4fbb212e,5/16/2024
Glide Pizza,659 Auburn Ave NE, Atlanta, GA,7.70,8.00,0.30,40,https://onebite.app/restaurant/glide-pizza-atlanta-ga-d0a4b6c0,5/14/2024
