Rank,Score,Name,City,State
1,10,Monte's Restaurant,Lynn,MA
2,9.4,Di Fara Pizza,Brooklyn,NY
2,9.4,Frank Pepe Pizzeria Napoletana - Chestnut Hill,Chestnut Hill,MA
2,9.4,DeLucia's Brick Oven Pizza,Raritan,NJ
5,9.3,Luigi's Pizza,Brooklyn,NY
5,9.3,Lucali,Brooklyn,NY
5,9.3,John's of Bleecker Street,New York,NY
5,9.3,Oath Pizza - Nantucket,Nantucket,MA
5,9.3,Angelo's Coal Oven Pizzeria,New York,NY
5,9.3,Lazzara's Pizza,New York,NY
11,9.2,Halftime Pizza,Boston,MA
11,9.2,Rosie's Subs and Pizza,Braintree,MA
11,9.2,De Lorenzo’s Tomato Pies,Robbinsville,NJ
11,9.2,Sally's Apizza,New Haven,CT
15,9.1,Best Pizza,Brooklyn,NY
15,9.1,Regina Pizzeria,Boston,MA
15,9.1,Johnny's Pizzeria,Mount Vernon,NY
15,9.1,Sauce Pizzeria,New York,NY
15,9.1,Angelo’s Pizzeria,Philadelphia,PA
20,9.0,Town Spa Pizza,Stoughton,MA
20,9.0,Denino's Greenwich Village,New York,NY
22,8.9,Ralph's Pizzeria,Nutley,NJ
22,8.9,Mister O1- South Beach,Miami Beach,FL
22,8.9,Brooklyn Square Pizza,Jackson,NJ
22,8.9,Conte's Pizza,Princeton,NJ
22,8.9,Calabria Pizzeria & Restaurant,Livingston,NJ
27,8.8,Modern Apizza,New Haven,CT
27,8.8,Nancy’s Towne House,Rahway,NJ
27,8.8,Federici’s Family Restaurant,Freehold,NJ
27,8.8,Pino’s Pizza,Brighton,MA
27,8.8,Angeloni’s Restaurant & Pizzeria,Caldwell,NJ
32,8.7,Sorrento’s,Long Beach,NY
32,8.7,Fredi The PizzaMan,Melvindale,MI
32,8.7,F & F Pizzeria,Brooklyn,NY
32,8.7,Ignazio's,Brooklyn,NY
32,8.7,Columbia Inn Restaurant,Montville,NJ
37,8.6,Nunzio's Pizzeria,Long Branch,NJ
37,8.6,Tommy’s Pizza,Bronx,NY
37,8.6,Tenth Street Pasta & Pizza,Hoboken,NJ
37,8.6,Joe & Pat's Pizzeria,Staten Island,NY
37,8.6,Williamsburg Pizza,Brooklyn,NY
37,8.6,Patsy's Pizzeria,New York,NY
37,8.6,Nove Italian Restaurant,Gansevoort,NY
37,8.6,Umberto's Pizzeria & Restaurant,New Hyde Park,NY
37,8.6,Rizzo's Fine Pizza,New York,NY
37,8.6,Prince Street Pizza,New York,NY
37,8.6,Pi Pizzeria,Nantucket,MA
37,8.6,Patsy's Pizzeria,New York,NY
37,8.6,Roseland Apizza,Derby,CT
37,8.6,Papa’s Tomato Pies,Robbinsville,NJ
51,8.5,Rosie's Pizza,Point Pleasant Beach,NJ
51,8.5,Double Zero,New York,NY
51,8.5,Lil' Frankie's,New York,NY
51,8.5,Cape Cod Cafe,Brockton,MA
51,8.5,Tony's Place,West Roxbury,MA
51,8.5,Frank Pepe Pizzeria Napoletana,New Haven,CT
51,8.5,Brooklyn Pizza Masters,New York,NY
51,8.5,Joe's Pizza,New York,NY
51,8.5,John & Maria’s Pizzeria,East Haven,CT
51,8.5,Perfect Pizza,North Bergen,NJ
61,8.4,Giordano's,Chicago,IL
61,8.4,Joe & Pat's Pizzeria,New York,NY
61,8.4,Colony Grill,Stamford,CT
61,8.4,Saba's Pizza,New York,NY
61,8.4,Pizza Sam,Jackson Heights,NY
61,8.4,Luigi's Pizza,New York,NY
61,8.4,John's of Times Square,New York,NY
61,8.4,Vinny Vincenz,New York,NY
61,8.4,Picciotto NYC,New York,NY
61,8.4,Best Pizza & Dive Bar,Amagansett,NY
61,8.4,Nick’s Pizza,Forest Hills,NY
61,8.4,Trattoria L'incontro,Astoria,NY
73,8.3,Vic's Italian Restaurant,Bradley Beach,NJ
73,8.3,Black Sheep Pizza - Minneapolis,Minneapolis,MN
73,8.3,Antico Pizza,Atlanta,GA
73,8.3,Santillo's Brick Oven Pizza,Elizabeth,NJ
73,8.3,Joe's Pizza,Santa Monica,CA
73,8.3,Speedy Romeo,New York,NY
73,8.3,Gato,New York,NY
73,8.3,Sauce,New York,NY
73,8.3,Surly Brewing,Minneapolis,MN
82,8.2,Patsy's Tavern & Restaurant,Paterson,NJ
82,8.2,Del Ponte's Coal Fired Pizza,Bradley Beach,NJ
82,8.2,Circles and Squares,Philadelphia,PA
82,8.2,Lou Malnati's Pizzeria,Chicago,IL
82,8.2,Saluggi's,New York,NY
82,8.2,Brunetti Pizza,New York,NY
82,8.2,Numero 28 Pizzeria - West Village,New York,NY
82,8.2,Vito's Pizza,Santa Monica,CA
82,8.2,Pope's Italian Restaurant,Saratoga Springs,NY
82,8.2,Stromboli Pizza,New York,NY
82,8.2,Bianchi's Pizza,Revere,MA
82,8.2,Santarpio's Pizza,Boston,MA
82,8.2,Florina Pizzeria & Paninoteca,Boston,MA
82,8.2,Riko's Pizza,Stamford,CT
82,8.2,Merilu Pizza Al Metro,New York,NY
82,8.2,NY Pizza Suprema,New York,NY
82,8.2,Brick Oven Pizza 33,New York,NY
82,8.2,Rocco's Pizza Joint,New York,NY
82,8.2,Pizza Time,Brooklyn,NY
82,8.2,The Longshoreman,New York,NY
82,8.2,Grand Pizza Shoreline,Clinton,CT
82,8.2,Zuppardi’s Apizza,West Haven,CT
82,8.2,Eleventh Street Pizza,Miami,FL
105,8.1,Luigi's Famous Pizza,Lincroft,NJ
105,8.1,Prime Pizza,Los Angeles,CA
105,8.1,Vito & Nick's Pizzeria,Chicago,IL
105,8.1,Detroit Style Pizza Co,St Clair Shores,MI
105,8.1,Cesare's Ristorante,Bristol,PA
105,8.1,Renato's Pizza Master,Jersey City,NJ
105,8.1,Rebar Bar & Pizza,West Haven,PA
105,8.1,Urban Tomato,Palisades Park,NJ
105,8.1,Lido Restaurant,Hackensack,NJ
105,8.1,Pizzata Pizzeria,Philadelphia,PA
105,8.1,Pizza Jawn,Philadelphia,PA
105,8.1,Wood Street Pizza,Philadelphia,PA
105,8.1,Lo Duca Pizza,Brooklyn,NY
105,8.1,Tacconelli’s Pizzeria,Philadelphia,PA
105,8.1,Amore Pizzeria,Flushing,NY
105,8.1,L’Arte Della Pizza Brooklyn,Brooklyn,NY
