Name,Date,City,State,Score:,Year,Pizza Type,Pizza Attributes,Notes
Denino's Greenwich Village,12/16/2016 13:00,New York, NY,9,2016,New York Style,Solid Crisp,
Artichoke Basille's Pizza,12/12/2016 13:00,New York, NY,7.9,2016,New York Style,"Floppy, Firm Back",
NY Pizza Suprema,6/4/2016 15:16,New York, NY,8.2,2016,New York Style,Flop,
Rivoli Pizza,11/3/2016 14:00,New York, NY,7.8,2016,Football Pizza,"Zero Flop, ",
Rosa's Pizza,10/24/2016 14:00,New York, NY,4.8,2016,New York Style,"Greasy, Floppy",
Catfish Biff's Pizza & Subs,10/10/2016 14:00,Columbus, OH,1.2,2016,Tavern Style,,
Grimaldi's,10/31/2016 14:00,New York, NY,7.9,2016,Coal-Fired,"Brick Oven, Cash Only, No Slices, More Mozarella, Little Flop, ",
Bleecker Street Pizza,11/4/2016 14:00,New York, NY,6.9,2016,New York Style,"Little Flop, Greasy",
99 Best & Fresh Pizza,11/18/2016 13:00,New York, NY,4.8,2016,New York Style,"Tastes Frozen, Cardboard",
Garlic New York Pizza Bar,12/14/2016 13:00,New York, NY,6.8,2016,New York Style,"Heavy, Floppy, ",
DJ Pizza,10/20/2016 14:00,New York, NY,6.8,2016,New York Style,,
Cavallo's Pizzeria,11/30/2016 13:00,New York, NY,7.4,2016,New York Style,,
Blaze Pizza,11/14/2016 13:00,Los Angeles, CA,0,2016,California Style,,
Pizza Paradise,10/12/2016 14:00,New York, NY,7.8,2016,New York Style,"Good Crisp, Greasy",
Waldy's Wood Fired Pizza & P...,9/12/2016 14:00,New York, NY,7.8,2016,Roman Style,"Thin Crust, Crispy",
Rocky's Pizza 14th St,11/2/2016 13:10,New York, NY,1.4,2016,New York Style,"Greasy, Floppy",
PN Wood Fired Pizza,10/5/2016 14:00,New York, NY,6.8,2016,Neopolitan,"Margarita, Floppy, Fancy",
Prince Street Pizza,12/21/2016 13:00,New York, NY,8.6,2016,New York Style,Floppy,
Rocky's Number II,12/15/2016 13:00,New York, NY,2.8,2016,New York Style,"Floppy, Greasy",
Otto Enoteca Pizzeria,10/24/2016 12:00,New York, NY,5.4,2016,Neopolitan,Fancy,
Manhattan Pizzeria,11/7/2016 13:00,Manhattan Beach, CA,5.4,2016,New York Style,,
Ciro's Pizzeria & Beerhouse,11/11/2016 13:00,San Diego, CA,7.4,2016,New York Style,Zero Flop,
Pastafina Pizza,10/25/2016 14:00,New York, NY,7.9,2016,New York Style,Little Flop,
Lombardi's Pizza,12/5/2016 13:00,New York, NY,6.2,2016,New York Style,"Margarita, Little Flop",
Famous Original Ray's Pizza,12/1/2016 13:00,New York, NY,6.2,2016,New York Style,"Little Flop, Rip",
Pizza Hut,4/8/2017 14:00,Augusta, GA,0,2017,Pan Style,,
Manhattan Brick Oven Pizza,7/27/2017 14:00,New York, NY,7.9,2017,New York Style,"Zero Flop, Crispy, Little Doughy ",
Umberto's Pizzeria & Restaur...,10/9/2017 14:00,New Hyde Park, NY,8.6,2017,Football Pizza,"Little Flop, Little Greasy",
Saba's Pizza Upper East,6/9/2017 14:00,New York, NY,8.4,2017,New York Style,"Little Flop, ",
Justino's Pizzeria,4/14/2017 14:00,New York, NY,7.4,2017,New York Style,"Zero Flop, Good Crisp, Midtown Rip",
Napolese Pizzeria,9/26/2017 14:00,Indianapolis, IN,4.1,2017,Neopolitan,"Brick Oven, Provolone Cheese",
Regina Pizzeria,6/1/2017 14:00,Mashantucket, CT,6.4,2017,New York Style,"Floppy, Greasy",
Numero 28 Pizzeria - West Vi...,7/24/2017 14:00,New York, NY,8.2,2017,Neopolitan,Brick Oven,
Black Sheep Pizza - Minneapo...,6/26/2017 14:00,Minneapolis, MN,8.3,2017,Coal-Fired,"Zero Flop, Cheesy",
Merilu Pizza Al Metro,6/27/2017 14:00,New York, NY,8.2,2017,Square Style,,
Pranzo Pizza & Pasta,5/2/2017 14:00,New York, NY,5.9,2017,New York Style,"Zero Flop, Greasy, Crispy",
